cust    first    last
00239    1    NA
00240    2    NA
00241    4    4
00242    1    1
00243    1    NA
00244    3    3
00245    1    4
00246    3    NA
00247    3    NA
00248    4    NA
00249    1    6
00250    2    2
00251    4    NA
00252    1    1
00253    3    NA
00254    1    3
00255    4    8
00256    4    NA
00257    3    NA
00258    2    5
00259    2    NA
00260    3    NA
00261    4    5
00262    3    NA
00263    4    NA
00264    4    6
00265    3    4
00266    4    4
00267    1    4
00268    4    NA
00269    2    NA
00270    1    1
00271    3    NA
00272    1    5
00273    2    2
00274    4    NA
00275    2    3
00276    4    4
00277    1    1
00278    4    4
00279    3    NA
00280    4    4
00281    2    NA
00282    2    NA
00283    4    NA
00284    4    5
00285    1    2
00286    1    1
00287    2    7
00288    2    NA
00289    4    NA
00290    4    NA
00291    4    NA
00292    3    4
00293    4    4
00294    3    8
00295    4    4
00296    1    NA
00297    1    1
00298    4    6
00299    4    NA
00300    3    4
00301    2    2
00302    2    5
00303    4    7
00304    3    6
00305    4    4
00306    1    1
00307    4    NA
00308    2    3
00309    2    NA
00310    1    3
00311    2    3
00312    4    4
00313    1    1
00314    2    2
00315    4    NA
00316    2    4
00317    3    3
00318    3    3
00319    3    6
00320    4    NA
00321    2    4
00322    4    4
00323    1    4
00324    1    1
00325    1    1
00326    3    NA
00327    4    NA
00328    1    6
00329    2    3
00330    2    2
00331    1    NA
00332    3    3
00333    1    1
00334    4    NA
00335    3    NA
00336    2    2
00337    3    4
00338    1    1
00339    1    1
00340    3    4
00341    4    7
00342    3    NA
00343    3    NA
00344    2    3
00345    1    NA
00346    4    6
00347    3    NA
00348    1    1
00349    1    5
00350    1    NA
00351    4    8
00352    4    4
00353    4    6
00354    1    1
00355    2    2
00356    1    2
00357    3    3
00358    1    1
00359    4    NA
00360    3    NA
00361    3    4
00362    3    4
00363    4    6
00364    3    4
00365    3    4
00366    4    4
00367    4    5
00368    1    1
00369    2    2
00370    4    NA
00371    1    NA
00372    3    3
00373    3    4
00374    2    7
00375    4    4
00376    1    2
00377    4    4
00378    4    8
00379    1    1
00380    2    4
00381    4    5
00382    1    2
00383    1    1
00384    1    3
00385    2    2
00386    2    5
00387    2    5
00388    3    3
00389    1    1
00390    2    2
00391    4    6
00392    1    1
00393    1    3
00394    4    4
00395    2    5
00396    1    5
00397    3    7
00398    4    NA
00399    4    4
00400    1    1
00401    3    3
00402    1    7
00403    4    6
00404    3    NA
00405    4    4
00406    2    2
00407    2    2
00408    4    5
00409    2    6
00410    2    7
00411    4    4
00412    3    4
00413    4    7
00414    3    5
00415    1    1
00416    4    4
00417    1    1
00418    2    NA
00419    3    4
00420    3    4
00421    3    5
00422    1    3
00423    1    NA
00424    1    5
00425    4    6
00426    4    4
00427    3    3
00428    4    NA
00429    4    NA
00430    2    2
00431    2    2
00432    1    1
00433    3    6
00434    3    6
00435    2    NA
00436    3    NA
00437    1    1
00438    4    8
00439    4    4
00440    1    3
00441    2    5
00442    2    3
00443    4    6
00444    3    3
00445    2    6
00446    2    2
00447    4    4
00448    2    NA
00449    2    2
00450    1    2
00451    1    1
00452    3    NA
00453    2    5
00454    4    NA
00455    1    2
00456    4    6
00457    4    4
00458    2    2
00459    4    5
00460    3    NA
00461    2    2
00462    2    3
00463    1    NA
00464    2    2
00465    2    NA
00466    3    NA
00467    4    6
00468    3    4
00469    2    2
00470    3    NA
00471    4    5
00472    4    6
00473    4    5
00474    1    NA
00475    3    3
00476    1    1
00477    2    NA
00478    4    4
00479    3    3
00480    1    5
00481    1    NA
00482    3    4
00483    1    NA
00484    3    3
00485    4    4
00486    4    7
00487    4    4
00488    2    NA
00489    2    4
00490    2    5
00491    3    3
00492    4    5
00493    4    4
00494    1    1
00495    3    3
00496    3    8
00497    4    5
00498    2    NA
00499    4    NA
00500    3    4
00501    2    3
00502    1    2
00503    3    NA
00504    1    6
00505    1    1
00506    2    NA
00507    4    NA
00508    3    3
00509    3    6
00510    1    2
00511    2    NA
00512    1    6
00513    2    2
00514    1    1
00515    3    3
00516    3    NA
00517    3    NA
00518    3    3
00519    4    NA
00520    3    4
00521    2    2
00522    2    NA
00523    3    3
00524    2    3
00525    4    4
00526    3    5
00527    4    4
00528    4    8
00529    1    2
00530    1    6
00531    2    2
00532    3    NA
00533    1    8
00534    3    7
00535    1    4
00536    4    NA
00537    1    4
00538    3    4
00539    2    2
00540    4    NA
00541    3    7
00542    3    3
00543    2    NA
00544    2    2
00545    2    2
00546    3    NA
00547    1    NA
00548    1    1
00549    3    7
00550    1    1
00551    4    4
00552    2    3
00553    3    NA
00554    4    4
00555    2    6
00556    4    6
00557    4    4
00558    4    4
00559    3    NA
00560    2    NA
00561    1    1
00562    1    NA
00563    1    1
00564    2    2
00565    3    NA
00566    3    3
00567    1    1
00568    2    2
00569    2    3
00570    3    5
00571    3    4
00572    2    2
00573    2    NA
00574    2    4
00575    4    6
00576    3    5
00577    4    4
00578    1    5
00579    1    1
00580    2    3
00581    2    2
00582    3    3
00583    4    4
00584    1    NA
00585    1    NA
00586    3    4
00587    3    4
00588    2    2
00589    1    1
00590    2    6
00591    3    3
00592    1    3
00593    1    1
00594    4    NA
00595    1    1
00596    4    4
00597    1    2
00598    2    NA
00599    2    3
00600    1    NA
00601    1    NA
00602    2    NA
00603    1    NA
00604    3    NA
00605    3    3
00606    3    3
00607    4    4
00608    3    5
00609    1    NA
00610    4    NA
00611    2    2
00612    4    4
00613    3    4
00614    1    2
00615    3    3
00616    2    NA
00617    1    NA
00618    2    NA
00619    3    NA
00620    2    4
00621    4    NA
00622    3    8
00623    4    8
00624    4    8
00625    3    3
00626    3    NA
00627    1    NA
00628    3    3
00629    2    6
00630    4    NA
00631    2    NA
00632    4    NA
00633    3    4
00634    4    8
00635    3    NA
00636    2    2
00637    4    5
00638    4    5
00639    1    4
00640    1    NA
00641    1    5
00642    1    NA
00643    1    1
00644    3    NA
00645    2    3
00646    1    6
00647    2    2
00648    4    8
00649    3    3
00650    2    8
00651    1    1
00652    3    7
00653    4    5
00654    4    NA
00655    3    NA
00656    1    5
00657    2    2
00658    4    NA
00659    4    4
00660    4    5
00661    3    NA
00662    3    7
00663    2    4
00664    3    7
00665    2    3
00666    2    6
00667    3    3
00668    4    6
00669    4    NA
00670    2    2
00671    4    6
00672    1    1
00673    4    4
00674    2    3
00675    3    3
00676    4    NA
00677    3    4
00678    3    5
00679    1    1
00680    4    NA
00681    2    NA
00682    2    NA
00683    1    NA
00684    2    2
00685    1    1
00686    4    5
00687    4    NA
00688    4    5
00689    3    NA
00690    3    3
00691    4    4
00692    4    NA
00693    2    7
00694    2    5
00695    1    7
00696    2    2
00697    1    NA
00698    4    5
00699    3    6
00700    1    1
00701    2    5
00702    4    NA
00703    2    5
00704    4    4
00705    2    2
00706    1    6
00707    1    6
00708    2    3
00709    2    2
00710    4    6
00711    2    2
00712    1    NA
00713    2    NA
00714    4    4
00715    4    NA
00716    1    5
00717    3    3
00718    1    4
00719    1    3
00720    1    5
00721    3    3
00722    4    4
00723    3    7
00724    4    NA
00725    2    3
00726    3    NA
00727    2    3
00728    3    3
00729    3    4
00730    1    2
00731    2    2
00732    2    2
00733    1    3
00734    2    7
00735    1    1
00736    2    2
00737    2    5
00738    3    NA
00739    3    3
00740    3    3
00741    4    NA
00742    4    4
00743    2    2
00744    1    1
00745    1    2
00746    4    4
00747    2    5
00748    1    4
00749    3    3
00750    3    3
00751    1    3
00752    3    4
00753    1    5
00754    3    NA
00755    1    4
00756    4    NA
00757    2    3
00758    1    3
00759    4    4
00760    1    1
00761    3    NA
00762    3    3
00763    2    2
00764    4    4
00765    4    4
00766    1    1
00767    3    3
00768    3    4
00769    4    7
00770    1    8
00771    1    1
00772    4    NA
00773    4    6
00774    1    4
00775    1    NA
00776    4    4
00777    4    4
00778    2    NA
00779    4    4
00780    4    5
00781    4    4
00782    2    2
00783    2    5
00784    4    NA
00785    2    6
00786    4    NA
00787    2    8
00788    4    4
00789    4    8
00790    1    3
00791    4    4
00792    3    4
00793    3    3
00794    3    3
00795    3    4
00796    2    3
00797    3    3
00798    2    3
00799    4    NA
00800    1    3
00801    1    1
00802    3    NA
00803    3    3
00804    2    6
00805    2    2
00806    2    4
00807    4    4
00808    3    7
00809    1    3
00810    3    4
00811    1    2
00812    3    3
00813    3    6
00814    4    4
00815    4    8
00816    1    5
00817    1    1
00818    3    3
00819    3    3
00820    4    4
00821    4    4
00822    4    4
00823    3    4
00824    1    2
00825    4    6
00826    2    2
00827    2    5
00828    4    4
00829    2    2
00830    2    8
00831    1    2
00832    2    2
00833    1    8
00834    4    4
00835    4    4
00836    1    8
00837    3    3
00838    3    NA
00839    4    5
00840    3    4
00841    1    1
00842    2    NA
00843    4    4
00844    1    NA
00845    4    4
00846    3    3
00847    1    1
00848    4    6
00849    3    NA
00850    3    NA
00851    3    NA
00852    1    3
00853    3    NA
00854    2    3
00855    3    3
00856    2    2
00857    4    6
00858    1    NA
00859    4    6
00860    4    6
00861    1    7
00862    3    5
00863    4    4
00864    3    8
00865    3    NA
00866    4    NA
00867    4    NA
00868    4    NA
00869    1    1
00870    2    5
00871    1    4
00872    1    2
00873    1    1
00874    4    NA
00875    3    3
00876    4    NA
00877    2    2
00878    4    NA
00879    4    5
00880    1    2
00881    1    1
00882    4    4
00883    4    NA
00884    3    7
00885    4    NA
00886    4    4
00887    4    5
00888    2    3
00889    3    4
00890    2    4
00891    4    NA
00892    2    2
00893    3    4
00894    2    2
00895    4    NA
00896    3    3
00897    1    2
00898    1    1
00899    2    3
00900    2    5
00901    1    2
00902    2    4
00903    3    3
00904    4    4
00905    4    4
00906    4    4
00907    3    6
00908    3    NA
00909    2    2
00910    2    NA
00911    3    3
00912    4    8
00913    2    3
00914    1    1
00915    1    8
00916    3    NA
00917    1    2
00918    4    NA
00919    3    6
00920    1    8
00921    1    1
00922    2    5
00923    3    3
00924    1    NA
00925    4    NA
00926    2    2
00927    3    3
00928    1    5
00929    4    NA
00930    2    2
00931    4    NA
00932    4    NA
00933    3    7
00934    2    3
00935    3    4
00936    4    4
00937    4    NA
00938    3    6
00939    4    4
00940    2    5
00941    3    5
00942    1    1
00943    1    1
00944    1    5
00945    1    7
00946    2    2
00947    2    NA
00948    4    NA
00949    4    NA
00950    2    8
00951    4    5
00952    3    NA
00953    1    1
00954    3    NA
00955    2    3
00956    1    3
00957    2    2
00958    4    5
00959    2    2
00960    3    3
00961    3    3
00962    2    5
00963    1    1
00964    4    4
00965    3    7
00966    4    7
00967    2    NA
00968    1    1
00969    4    5
00970    2    2
00971    3    3
00972    1    NA
00973    3    7
00974    1    NA
00975    2    3
00976    4    5
00977    4    NA
00978    4    5
00979    3    3
00980    4    4
00981    1    NA
00982    2    6
00983    2    NA
00984    3    5
00985    3    3
00986    4    7
00987    2    3
00988    2    2
00989    1    3
00990    3    3
00991    2    2
00992    1    8
00993    3    NA
00994    1    1
00995    4    5
00996    2    NA
00997    4    4
00998    1    1
00999    4    4
01000    1    NA
01001    4    4
01002    3    NA
01003    1    6
01004    1    NA
01005    4    4
01006    4    NA
01007    2    2
01008    2    NA
01009    2    2
01010    4    5
01011    4    5
01012    4    4
01013    4    4
01014    3    NA
01015    1    1
01016    4    NA
01017    4    6
01018    1    3
01019    2    NA
01020    4    NA
01021    3    NA
01022    2    NA
01023    2    3
01024    3    3
01025    1    2
01026    2    NA
01027    1    5
01028    1    NA
01029    4    NA
01030    1    2
01031    3    4
01032    1    7
01033    1    3
01034    4    4
01035    1    1
01036    2    2
01037    2    NA
01038    4    6
01039    3    3
01040    3    7
01041    2    2
01042    4    4
01043    3    4
01044    2    NA
01045    4    4
01046    1    4
01047    1    4
01048    2    2
01049    4    4
01050    3    4
01051    3    4
01052    1    1
01053    1    NA
01054    2    3
01055    1    1
01056    1    8
01057    1    3
01058    4    NA
01059    2    6
01060    1    1
01061    3    8
01062    3    NA
01063    2    2
01064    4    4
01065    1    1
01066    2    7
01067    1    5
01068    1    1
01069    3    3
01070    3    NA
01071    2    2
01072    3    4
01073    3    5
01074    4    5
01075    1    NA
01076    2    8
01077    4    4
01078    1    3
01079    1    NA
01080    4    NA
01081    4    NA
01082    4    NA
01083    3    NA
01084    1    1
01085    4    4
01086    3    7
01087    3    3
01088    2    2
01089    1    7
01090    1    1
01091    4    NA
01092    3    NA
01093    4    NA
01094    3    NA
01095    1    5
01096    2    3
01097    3    NA
01098    2    4
01099    2    2
01100    3    3
01101    1    1
01102    2    NA
01103    2    5
01104    4    6
01105    1    2
01106    1    1
01107    1    5
01108    1    2
01109    4    6
01110    1    2
01111    4    NA
01112    1    1
01113    3    3
01114    1    4
01115    1    NA
01116    1    NA
01117    2    2
01118    4    6
01119    4    NA
01120    3    3
01121    2    3
01122    1    1
01123    1    4
01124    2    2
01125    3    NA
01126    3    3
01127    2    6
01128    4    5
01129    4    6
01130    4    4
01131    1    NA
01132    4    6
01133    2    NA
01134    4    NA
01135    3    6
01136    3    3
01137    3    3
01138    1    1
01139    2    NA
01140    4    5
01141    3    4
01142    2    3
01143    1    2
01144    2    2
01145    2    2
01146    4    4
01147    4    4
01148    2    2
01149    4    4
01150    2    3
01151    4    4
01152    1    1
01153    1    4
01154    4    NA
01155    3    3
01156    1    NA
01157    1    4
01158    1    1
01159    3    3
01160    4    6
01161    3    NA
01162    3    3
01163    4    6
01164    4    4
01165    4    NA
01166    1    NA
01167    1    NA
01168    2    3
01169    2    3
01170    4    5
01171    1    2
01172    4    4
01173    3    NA
01174    2    3
01175    4    NA
01176    1    1
01177    2    3
01178    4    7
01179    3    NA
01180    1    1
01181    4    4
01182    1    NA
01183    4    4
01184    1    6
01185    1    6
01186    2    3
01187    2    3
01188    1    1
01189    1    2
01190    3    3
01191    3    6
01192    4    NA
01193    1    5
01194    1    NA
01195    4    4
01196    4    NA
01197    2    NA
01198    4    4
01199    2    3
01200    2    2
01201    2    NA
01202    2    4
01203    2    2
01204    2    NA
01205    2    3
01206    4    4
01207    1    1
01208    3    3
01209    3    NA
01210    2    NA
01211    4    5
01212    2    2
01213    2    4
01214    1    2
01215    2    NA
01216    4    NA
01217    3    4
01218    1    7
01219    2    NA
01220    3    3
01221    4    NA
01222    4    NA
01223    1    7
01224    1    1
01225    4    7
01226    2    2
01227    2    6
01228    4    6
01229    2    3
01230    4    NA
01231    2    NA
01232    4    NA
01233    2    5
01234    1    1
01235    2    NA
01236    1    NA
01237    1    1
01238    2    NA
01239    4    8
01240    2    NA
01241    3    5
01242    4    4
01243    4    4
01244    2    2
01245    1    3
01246    4    4
01247    4    5
01248    4    4
01249    2    NA
01250    3    3
01251    1    NA
01252    4    NA
01253    4    NA
01254    2    2
01255    1    2
01256    1    1
01257    2    2
01258    4    4
01259    1    NA
01260    4    8
01261    1    5
01262    3    3
01263    4    4
01264    2    3
01265    1    1
01266    2    2
01267    1    4
01268    3    3
01269    1    1
01270    4    NA
01271    3    NA
01272    4    4
01273    2    2
01274    3    7
01275    1    NA
01276    3    NA
01277    2    2
01278    3    3
01279    1    1
01280    1    1
01281    2    4
01282    2    2
01283    3    3
01284    4    NA
01285    4    4
01286    3    NA
01287    3    5
01288    4    7
01289    2    2
01290    3    3
01291    3    8
01292    1    NA
01293    1    NA
01294    3    5
01295    4    7
01296    3    3
01297    1    1
01298    3    4
01299    3    NA
01300    2    2
01301    3    7
01302    3    3
01303    4    5
01304    3    5
01305    3    3
01306    1    1
01307    1    1
01308    4    7
01309    1    4
01310    1    NA
01311    1    1
01312    4    NA
01313    3    3
01314    4    6
01315    2    2
01316    2    2
01317    1    1
01318    4    NA
01319    1    5
01320    4    4
01321    4    4
01322    3    NA
01323    2    2
01324    3    8
01325    2    2
01326    3    4
01327    3    3
01328    1    1
01329    3    NA
01330    1    4
01331    1    3
01332    4    4
01333    2    4
01334    3    4
01335    1    3
01336    4    NA
01337    3    NA
01338    4    NA
01339    4    5
01340    2    2
01341    4    7
01342    3    NA
01343    4    4
01344    4    6
01345    2    3
01346    1    8
01347    2    2
01348    2    2
01349    3    8
01350    1    1
01351    2    3
01352    4    7
01353    4    NA
01354    4    4
01355    1    5
01356    4    4
01357    2    6
01358    3    3
01359    3    4
01360    1    6
01361    2    2
01362    1    1
01363    2    NA
01364    2    2
01365    2    4
01366    2    2
01367    2    5
01368    2    NA
01369    1    2
01370    4    NA
01371    1    4
01372    2    NA
01373    4    4
01374    2    NA
01375    2    8
01376    2    2
01377    4    5
01378    3    NA
01379    4    6
01380    2    NA
01381    4    5
01382    3    NA
01383    2    2
01384    1    2
01385    4    4
01386    3    5
01387    1    2
01388    1    1
01389    4    NA
01390    1    1
01391    4    4
01392    3    NA
01393    4    5
01394    1    NA
01395    4    5
01396    1    1
01397    3    5
01398    4    NA
01399    3    7
01400    2    5
01401    3    7
01402    2    NA
01403    4    4
01404    3    3
01405    3    3
01406    4    NA
01407    3    5
01408    3    3
01409    1    2
01410    3    3
01411    3    NA
01412    1    6
01413    2    2
01414    4    NA
01415    1    2
01416    1    1
01417    1    3
01418    4    4
01419    1    1
01420    2    NA
01421    4    5
01422    2    3
01423    2    NA
01424    2    2
01425    3    4
01426    1    NA
01427    1    2
01428    4    7
01429    4    4
01430    1    2
01431    2    2
01432    3    3
01433    4    8
01434    3    3
01435    2    2
01436    2    3
01437    2    2
01438    1    3
01439    3    3
01440    4    NA
01441    4    5
01442    1    1
01443    2    NA
01444    3    NA
01445    4    7
01446    3    7
01447    1    NA
01448    4    NA
01449    1    2
01450    2    2
01451    2    3
01452    3    3
01453    4    4
01454    1    2
01455    2    7
01456    3    5
01457    4    4
01458    1    2
01459    2    3
01460    2    NA
01461    4    8
01462    2    3
01463    1    3
01464    2    4
01465    2    5
01466    4    5
01467    2    2
01468    2    2
01469    3    3
01470    3    NA
01471    1    1
01472    3    NA
01473    3    NA
01474    3    6
01475    1    1
01476    1    3
01477    1    4
01478    2    NA
01479    1    1
01480    1    NA
01481    2    NA
01482    2    NA
01483    4    NA
01484    3    4
01485    4    4
01486    2    4
01487    3    7
01488    2    2
01489    4    5
01490    3    3
01491    2    2
01492    2    6
01493    3    NA
01494    3    NA
01495    1    2
01496    1    1
01497    3    3
01498    4    NA
01499    3    5
01500    1    NA
01501    2    NA
01502    4    NA
01503    2    3
01504    1    2
01505    2    NA
01506    2    7
01507    4    4
01508    4    5
01509    1    2
01510    1    1
01511    1    2
01512    2    8
01513    1    1
01514    4    5
01515    1    1
01516    4    5
01517    2    NA
01518    3    3
01519    4    8
01520    2    4
01521    1    NA
01522    3    NA
01523    3    4
01524    3    6
01525    1    1
01526    2    3
01527    1    1
01528    1    1
01529    4    4
01530    1    NA
01531    3    4
01532    3    3
01533    1    NA
01534    4    8
01535    1    4
01536    2    2
01537    2    3
01538    3    4
01539    3    3
01540    1    2
01541    2    NA
01542    4    NA
01543    4    6
01544    4    NA
01545    3    3
01546    1    3
01547    4    NA
01548    2    NA
01549    2    2
01550    2    4
01551    3    5
01552    2    2
01553    1    NA
01554    2    2
01555    1    5
01556    1    2
01557    4    NA
01558    1    1
01559    1    4
01560    2    2
01561    2    2
01562    4    5
01563    4    4
01564    1    NA
01565    4    8
01566    1    NA
01567    4    4
01568    2    6
01569    1    NA
01570    2    3
01571    3    NA
01572    2    2
01573    4    NA
01574    2    3
01575    3    3
01576    3    NA
01577    3    3
01578    4    4
01579    1    NA
01580    2    5
01581    1    NA
01582    2    2
01583    3    8
01584    4    4
01585    4    NA
01586    2    NA
01587    2    NA
01588    4    6
01589    3    3
01590    4    NA
01591    3    4
01592    2    2
01593    3    NA
01594    1    1
01595    2    NA
01596    1    1
01597    3    5
01598    2    3
01599    2    2
01600    3    4
01601    1    1
01602    4    5
01603    2    2
01604    2    3
01605    3    8
01606    4    6
01607    3    NA
01608    3    3
01609    3    8
01610    2    NA
01611    2    6
01612    4    4
01613    4    5
01614    1    NA
01615    3    4
01616    3    4
01617    3    6
01618    4    NA
01619    1    1
01620    4    NA
01621    4    4
01622    4    4
01623    3    3
01624    3    NA
01625    4    4
01626    1    2
01627    1    NA
01628    3    3
01629    4    5
01630    3    4
01631    3    4
01632    1    NA
01633    2    2
01634    3    3
01635    4    4
01636    3    NA
01637    3    NA
01638    1    3
01639    3    4
01640    1    2
01641    3    NA
01642    2    2
01643    1    3
01644    1    NA
01645    4    5
01646    3    NA
01647    4    8
01648    3    4
01649    1    NA
01650    1    6
01651    2    5
01652    1    1
01653    4    4
01654    4    5
01655    1    5
01656    3    3
01657    2    NA
01658    3    5
01659    2    2
01660    2    3
01661    1    1
01662    3    3
01663    4    4
01664    2    3
01665    2    3
01666    2    3
01667    2    NA
01668    3    4
01669    1    4
01670    3    7
01671    3    4
01672    2    2
01673    2    2
01674    4    NA
01675    1    3
01676    1    8
01677    2    NA
01678    1    5
01679    2    3
01680    4    NA
01681    1    3
01682    4    5
01683    1    NA
01684    1    1
01685    2    2
01686    1    3
01687    2    3
01688    1    2
01689    2    5
01690    3    6
01691    3    3
01692    3    4
01693    2    8
01694    2    NA
01695    4    NA
01696    1    4
01697    1    3
01698    2    NA
01699    4    4
01700    4    4
01701    3    3
01702    3    3
01703    4    5
01704    2    3
01705    2    6
01706    2    6
01707    1    1
01708    3    6
01709    3    NA
01710    2    2
01711    1    1
01712    4    4
01713    3    NA
01714    2    2
01715    2    2
01716    1    NA
01717    1    1
01718    1    1
01719    4    5
01720    3    4
01721    3    6
01722    4    4
01723    4    4
01724    1    2
01725    2    2
01726    3    NA
01727    4    6
01728    3    3
01729    3    4
01730    2    NA
01731    3    NA
01732    2    3
01733    3    NA
01734    3    NA
01735    1    1
01736    4    NA
01737    4    4
01738    3    7
01739    2    3
01740    1    2
01741    1    1
01742    4    5
01743    2    NA
01744    3    3
01745    3    3
01746    4    5
01747    1    4
01748    3    6
01749    4    6
01750    2    6
01751    2    2
01752    3    6
01753    1    3
01754    2    NA
01755    3    3
01756    3    3
01757    4    NA
01758    2    2
01759    4    7
01760    4    4
01761    1    1
01762    2    4
01763    3    NA
01764    3    5
01765    3    NA
01766    3    3
01767    1    3
01768    1    1
01769    4    4
01770    4    4
01771    3    NA
01772    2    2
01773    3    5
01774    2    2
01775    2    7
01776    4    NA
01777    4    4
01778    3    6
01779    2    2
01780    2    7
01781    4    4
01782    2    6
01783    2    NA
01784    2    3
01785    2    7
01786    1    2
01787    2    4
01788    2    2
01789    4    4
01790    1    2
01791    3    3
01792    1    1
01793    4    6
01794    3    4
01795    4    5
01796    4    5
01797    2    NA
01798    2    2
01799    3    3
01800    4    4
01801    1    NA
01802    4    5
01803    2    6
01804    4    5
01805    4    NA
01806    1    1
01807    1    1
01808    3    6
01809    3    NA
01810    4    8
01811    4    6
01812    3    4
01813    3    6
01814    1    1
01815    1    2
01816    4    5
01817    2    3
01818    3    3
01819    2    NA
01820    4    5
01821    3    NA
01822    1    5
01823    3    NA
01824    3    4
01825    2    4
01826    3    3
01827    3    3
01828    4    5
01829    3    NA
01830    1    3
01831    4    4
01832    4    4
01833    4    7
01834    4    4
01835    2    3
01836    1    NA
01837    2    2
01838    3    8
01839    3    8
01840    4    NA
01841    3    NA
01842    2    NA
01843    4    4
01844    4    NA
01845    2    6
01846    1    NA
01847    1    1
01848    3    6
01849    4    5
01850    4    4
01851    2    3
01852    3    4
01853    4    4
01854    1    3
01855    2    3
01856    1    1
01857    2    5
01858    3    4
01859    2    4
01860    3    5
01861    4    NA
01862    4    4
01863    1    1
01864    4    7
01865    3    NA
01866    2    2
01867    1    1
01868    2    2
01869    4    6
01870    4    4
01871    4    5
01872    2    NA
01873    1    4
01874    1    4
01875    1    1
01876    3    5
01877    1    3
01878    1    1
01879    3    3
01880    3    5
01881    2    NA
01882    2    NA
01883    1    NA
01884    3    4
01885    1    4
01886    3    5
01887    4    6
01888    1    2
01889    2    2
01890    2    NA
01891    1    2
01892    2    2
01893    2    2
01894    3    NA
01895    4    4
01896    2    NA
01897    2    2
01898    3    5
01899    1    NA
01900    1    1
01901    2    NA
01902    4    4
01903    2    NA
01904    3    NA
01905    4    4
01906    4    4
01907    4    7
01908    1    NA
01909    1    NA
01910    2    3
01911    1    4
01912    2    2
01913    1    NA
01914    4    4
01915    4    6
01916    4    NA
01917    2    2
01918    3    8
01919    4    4
01920    3    3
01921    4    NA
01922    4    7
01923    2    2
01924    4    NA
01925    4    4
01926    1    NA
01927    1    3
01928    4    NA
